,job-title,job-location,company_name,experience_required
0,Analystics & Modeling Specialist,"Bangalore/Bengaluru, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai",Accenture,6-8 Yrs
1,Data Science Specialist,"Bangalore/Bengaluru, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai",Accenture,2-4 Yrs
2,Data Scientist,"Bangalore/Bengaluru, Mumbai (All Areas)",PwC,3-6 Yrs
3,Data Scientist,"Bangalore/Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai",Tredence,2-4 Yrs
4,Data Scientist,"Bangalore/Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai",IBS Software Services,5-8 Yrs
5,ACN - Applied Intelligence - Finance - Data Science - 09,"Bangalore/Bengaluru, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram",Accenture,2-7 Yrs
6,Senior Data Scientist,"Bangalore/Bengaluru, Mumbai",Fractal Analytics,5-10 Yrs
7,Data Scientist,"Hybrid - Bangalore/ Bengaluru, Karnataka, Noida, Uttar Pradesh",HCLTech,7-12 Yrs
8,Data Scientist with Retail Domain,"Bangalore/Bengaluru, Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Delhi / NCR",TRH Consultancy Services,4-9 Yrs
9,Data Scientist,"Bangalore/Bengaluru, Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore",TRH Consultancy Services,5-10 Yrs
