,Brand,Name of the product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
0,Kadence,"Kadence A281 Professional Acoustic Rosewood guitar (Natural, Beige)","6,499",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODE5OTMwNTc5NzQxODc5OjE2OTEyODcyNTY6c3BfYXRmOjMwMDAyMjkzODAyNjEzMjo6MDo6&url=%2FKadence-Professional-Acoustic-Rosewood-Natural%2Fdp%2FB0CC927DLN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1691287256%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","4,999",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODE5OTMwNTc5NzQxODc5OjE2OTEyODcyNTY6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1691287256%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,Intern,Intern INT-38C Acoustic Guitar Kit (Red),"2,099",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODE5OTMwNTc5NzQxODc5OjE2OTEyODcyNTY6c3BfYXRmOjMwMDAxNTQ5MzI0NjMzMjo6MDo6&url=%2FIntern-INT-38C-Acoustic-Guitar-Kit%2Fdp%2FB073B6TF31%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1691287256%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,Intern,"Intern INT-38C-NT-G 38 Incheses lindenwood Right HAnded Acoustic Guitar Kit With Bag, Strings, Pick And Strap (Natural, 6-Strings)","2,239",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODE5OTMwNTc5NzQxODc5OjE2OTEyODcyNTY6c3BfYXRmOjMwMDAxNTQ5MzI0NjUzMjo6MDo6&url=%2FIntern-INT-38C-NT-G-Guitar-Kit-Natural%2Fdp%2FB07K9MZZH9%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dguitar%26qid%3D1691287256%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4,JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","1,799",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_5?keywords=guitar&qid=1691287256&sr=8-5
5,YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,099",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_6?keywords=guitar&qid=1691287256&sr=8-6
6,Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","1,849",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_7?keywords=guitar&qid=1691287256&sr=8-7
7,JUAREZ,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black","2,649",7 days Replacement,"Thursday, 10 August",Only 1 left in stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B075XMRKMY/ref=sr_1_8?keywords=guitar&qid=1691287256&sr=8-8
8,JUAREZ,"Juarez Lindenwood Acoustic Guitar, 38 Inches Curved Body Cutaway, 38CUR With Bag, Strings, Pick And Strap (Black)","2,399",7 days Replacement,"Thursday, 10 August",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_9?keywords=guitar&qid=1691287256&sr=8-9
9,JUAREZ,"Juarez Lindenwood Acoustic Guitar Kit, 38 Inches Cutaway, 38C With Bag, Strings, Pick And Strap, 3TS Sunburst","1,849",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_10?keywords=guitar&qid=1691287256&sr=8-10
