,Smartphone name,Display Size,Battery Capacity,Price,Product URL,Colour,RAM,Storage(ROM),Primary Camera,Secondary Camera,Brand Name
0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹17,743",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9EG6XMP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGMFREBAHZQGY9.SEARCH&ppt=sp&ppn=sp&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Blue Tide,6 GB,128 GB,64MP Rear Camera,16MP Front Camera,OnePlus
1,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹17,742",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFXEVDZE&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGHBZHB7YJT5HF.SEARCH&ppt=sp&ppn=sp&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Black Dusk,6 GB,128 GB,64MP Rear Camera,16MP Front Camera,OnePlus
2,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹28,972",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmeadf76c1e8943?pid=MOBGHBZH2S8MWQGQ&lid=LSTMOBGHBZH2S8MWQGQLK3IGY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGHBZH2S8MWQGQ.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Gray Shadow,8 GB,128 GB,50MP Rear Camera,32MP Front Camera,OnePlus
3,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹28,295",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm31ac32e308282?pid=MOBGHBZHFAUYKH3U&lid=LSTMOBGHBZHFAUYKH3ULSTBCZ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGHBZHFAUYKH3U.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Jade Fog,8 GB,128 GB,50MP Rear Camera,32MP Front Camera,OnePlus
4,"OnePlus Nord 3 5G (Misty Green, 256 GB)",17.12 cm (6.74 inch) Display,5000 mAh Battery,"₹37,532",https://www.flipkart.com/oneplus-nord-3-5g-misty-green-256-gb/p/itm5fc87afce35dc?pid=MOBGRK3284RMGYSX&lid=LSTMOBGRK3284RMGYSXSD8ATI&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGRK3284RMGYSX.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Misty Green,16 GB,256 GB,50MP Rear Camera,-,OnePlus
5,"OnePlus Nord 3 5G (Tempest Gray, 256 GB)",17.12 cm (6.74 inch) Display,5000 mAh Battery,"₹37,237",https://www.flipkart.com/oneplus-nord-3-5g-tempest-gray-256-gb/p/itm5fc87afce35dc?pid=MOBGRK35QGGTMTZ3&lid=LSTMOBGRK35QGGTMTZ3KCGOXO&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGRK35QGGTMTZ3.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Tempest Gray,16 GB,256 GB,50MP Rear Camera,-,OnePlus
6,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmd6fae876845b9?pid=MOBGZKM5XBXSJYZT&lid=LSTMOBGZKM5XBXSJYZTF1NRRP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGZKM5XBXSJYZT.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Gray Shadow,8 GB,128 GB,50MP Rear Camera,-,OnePlus
7,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹28,899",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmcc41879f80ab7?pid=MOBGQ9PXWGKTUZGR&lid=LSTMOBGQ9PXWGKTUZGRLH747D&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGQ9PXWGKTUZGR.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Gray Shadow,8 GB,128 GB,50MP Rear Camera,-,OnePlus
8,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹28,993",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itm09f5278e2a599?pid=MOBGNQHZG3HBMRDW&lid=LSTMOBGNQHZG3HBMRDWSSPZNO&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGNQHZG3HBMRDW.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Gray Shadow,8 GB,128 GB,50MP Rear Camera,-,OnePlus
9,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹27,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm35e6b96d50ae8?pid=MOBGNQHZ7V2GPFKG&lid=LSTMOBGNQHZ7V2GPFKGZRBEXT&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=353f951b-fca9-4d01-a59a-8c571518f9d3.MOBGNQHZ7V2GPFKG.SEARCH&ppt=hp&ppn=homepage&ssid=xil91rl5jk0000001691319358966&qH=53863d4d978d5074,Jade Fog,8 GB,128 GB,50MP Rear Camera,-,OnePlus
