,Smartphone name,Display Size,Battery Capacity,Price,Product URL,Colour,RAM,Storage(ROM),Primary Camera,Secondary Camera,Brand Name
0,"realme C53 (Champion Gold, 64 GB)",17.12 cm (6.74 inch) HD Display,5000 mAh Battery,"₹10,999",https://www.flipkart.com/realme-c53-champion-gold-64-gb/p/itm5df90168ecd05?pid=MOBGQY939DG9GBQ8&lid=LSTMOBGQY939DG9GBQ8XN2GK7&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGQY939DG9GBQ8.SEARCH&ppt=sp&ppn=sp&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Champion Gold,6 GB,64 GB,-,8MP Front Camera,realme
1,"Google Pixel 6a (Charcoal, 128 GB)",15.6 cm (6.14 inch) Full HD+ Display,4410 mAh Battery,"₹25,999",https://www.flipkart.com/google-pixel-6a-charcoal-128-gb/p/itme5ae89135d44e?pid=MOBGFKX5YUXD74Z3&lid=LSTMOBGFKX5YUXD74Z3MXA2OB&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGFKX5YUXD74Z3.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Charcoal,6 GB,128 GB,-,8MP Front Camera,Google
2,"Google Pixel 6a (Chalk, 128 GB)",15.6 cm (6.14 inch) Full HD+ Display,4410 mAh Battery,"₹25,999",https://www.flipkart.com/google-pixel-6a-chalk-128-gb/p/itme5ae89135d44e?pid=MOBGFWEZ5SKU84Z8&lid=LSTMOBGFWEZ5SKU84Z8FXPB45&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGFWEZ5SKU84Z8.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Chalk,6 GB,128 GB,-,8MP Front Camera,Google
3,"realme C30 (Lake Blue, 32 GB)",16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,"₹5,999",https://www.flipkart.com/realme-c30-lake-blue-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GTRVMRJVK&lid=LSTMOBGF37GTRVMRJVKRYAJNG&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGF37GTRVMRJVK.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Lake Blue,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,realme
4,"realme C30 (Bamboo Green, 32 GB)",16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,"₹6,499",https://www.flipkart.com/realme-c30-bamboo-green-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GUWGZQYGR&lid=LSTMOBGF37GUWGZQYGRVXRDM1&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGF37GUWGZQYGR.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Bamboo Green,3 GB,32 GB,8MP Rear Camera,5MP Front Camera,realme
5,"realme C30 (Denim Black, 32 GB)",16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,"₹5,999",https://www.flipkart.com/realme-c30-denim-black-32-gb/p/itmfcf69b2db5059?pid=MOBGF37G8TGKHFWJ&lid=LSTMOBGF37G8TGKHFWJIST95C&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGF37G8TGKHFWJ.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Denim Black,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,realme
6,"realme C30 (Lake Blue, 32 GB)",16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,"₹6,499",https://www.flipkart.com/realme-c30-lake-blue-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GWT4TGVZM&lid=LSTMOBGF37GWT4TGVZM1IFYZO&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGF37GWT4TGVZM.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Lake Blue,3 GB,32 GB,8MP Rear Camera,5MP Front Camera,realme
7,"realme C30 (Denim Black, 32 GB)",16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,"₹6,499",https://www.flipkart.com/realme-c30-denim-black-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GMBMYRFBK&lid=LSTMOBGF37GMBMYRFBK6OQWPG&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGF37GMBMYRFBK.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Denim Black,3 GB,32 GB,8MP Rear Camera,5MP Front Camera,realme
8,"realme 10 Pro 5G (Nebula Blue, 128 GB)",17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,"₹19,999",https://www.flipkart.com/realme-10-pro-5g-nebula-blue-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHHFY5VCAY&lid=LSTMOBGK8VHHFY5VCAYOXEXVI&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGK8VHHFY5VCAY.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Nebula Blue,8 GB,128 GB,-,16MP Front Camera,realme
9,"realme 10 Pro 5G (Hyperspace, 128 GB)",17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,"₹19,999",https://www.flipkart.com/realme-10-pro-5g-hyperspace-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHZPVGJCES&lid=LSTMOBGK8VHZPVGJCES9YRIWN&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=99eb8c0d-b993-40af-8211-8ddf479b50ac.MOBGK8VHZPVGJCES.SEARCH&ppt=hp&ppn=homepage&ssid=ulpe7yin7k0000001691319456167&qH=9b26a23b2cff510d,Hyperspace,8 GB,128 GB,-,16MP Front Camera,realme
