,Rank,Name,Net worth,Age,Citizenship,Source,Industry
0,2,Elon Musk,$180 B,51,United States,"Tesla, SpaceX",
1,3,Jeff Bezos,$114 B,59,United States,Amazon,
2,4,Larry Ellison,$107 B,78,United States,Oracle,
3,5,Warren Buffett,$106 B,92,United States,Berkshire Hathaway,
4,6,Bill Gates,$104 B,67,United States,Microsoft,
5,7,Michael Bloomberg,$94.5 B,81,United States,Bloomberg LP,
6,8,Carlos Slim Helu & family,$93 B,83,Mexico,Telecom,
7,9,Mukesh Ambani,$83.4 B,65,India,Diversified,
8,10,Steve Ballmer,$80.7 B,67,United States,Microsoft,
9,11,Francoise Bettencourt Meyers & family,$80.5 B,69,France,L'Oréal,
10,12,Larry Page,$79.2 B,50,United States,Google,
11,13,Amancio Ortega,$77.3 B,87,Spain,Zara,
12,14,Sergey Brin,$76 B,49,United States,Google,
13,15,Zhong Shanshan,$68 B,68,China,"Beverages, pharmaceuticals",
14,16,Mark Zuckerberg,$64.4 B,38,United States,Facebook,
15,17,Charles Koch,$59 B,87,United States,Koch Industries,
16,17,Julia Koch & family,$59 B,60,United States,Koch Industries,
17,19,Jim Walton,$58.8 B,74,United States,Walmart,
18,20,Rob Walton,$57.6 B,78,United States,Walmart,
19,21,Alice Walton,$56.7 B,73,United States,Walmart,
20,22,David Thomson & family,$54.4 B,65,Canada,Media,
21,23,Michael Dell,$50.1 B,58,United States,Dell Technologies,
22,24,Gautam Adani,$47.2 B,60,India,"Infrastructure, commodities",
23,25,Phil Knight & family,$45.1 B,85,United States,Nike,
24,26,Zhang Yiming,$45 B,39,China,TikTok,
25,27,Dieter Schwarz,$42.9 B,83,Germany,Retail,
26,28,François Pinault & family,$40.1 B,86,France,Luxury goods,
27,29,Klaus-Michael Kuehne,$39.1 B,85,Germany,Shipping,
28,30,Giovanni Ferrero,$38.9 B,58,Italy,"Nutella, chocolates",
29,31,Jacqueline Mars,$38.3 B,83,United States,"Candy, pet food",
30,31,John Mars,$38.3 B,87,United States,"Candy, pet food",
31,33,Li Ka-shing,$38 B,94,Hong Kong,Diversified,
32,34,Ma Huateng,$35.3 B,51,China,Internet media,
33,35,Miriam Adelson & family,$35 B,77,United States,Casinos,
34,35,Ken Griffin,$35 B,54,United States,Hedge funds,
35,37,Mark Mateschitz,$34.7 B,30,Austria,Red Bull,
36,38,Robin Zeng,$33.4 B,54,Hong Kong,Batteries,
37,39,Tadashi Yanai & family,$32.6 B,74,Japan,Fashion retail,
38,40,Len Blavatnik,$32.1 B,65,United States,"Music, chemicals",
39,41,Alain Wertheimer,$31.6 B,74,France,Chanel,
40,41,Gerard Wertheimer,$31.6 B,72,France,Chanel,
41,43,Gianluigi Aponte,$31.2 B,82,Switzerland,Shipping,
42,43,Rafaela Aponte-Diamant,$31.2 B,78,Switzerland,Shipping,
43,45,Colin Zheng Huang,$30.2 B,43,China,E-commerce,
44,46,Reinhold Wuerth & family,$29.7 B,87,Germany,Fasteners,
45,47,Lee Shau Kee,$29.5 B,95,Hong Kong,Real estate,
46,48,Jeff Yass,$28.5 B,64,United States,"Trading, investments",
47,49,Jim Simons,$28.1 B,84,United States,Hedge funds,
48,50,Stephen Schwarzman,$27.8 B,76,United States,Investments,
49,51,Susanne Klatten,$27.4 B,60,Germany,"BMW, pharmaceuticals",
50,52,Gina Rinehart,$27 B,69,Australia,Mining,
51,53,William Lei Ding,$26.7 B,51,China,Online games,
52,54,Germán Larrea Mota Velasco & family,$26.6 B,69,Mexico,Mining,
53,55,Shiv Nadar,$25.6 B,77,India,Software services,
54,56,Low Tuck Kwong,$25.5 B,74,Indonesia,Coal,
55,57,Thomas Peterffy,$25.3 B,78,United States,Discount brokerage,
56,58,Andrey Melnichenko & family,$25.2 B,51,Russia,"Fertilizers, coal",
57,59,Stefan Quandt,$24.6 B,56,Germany,BMW,
58,60,MacKenzie Scott,$24.4 B,52,United States,Amazon,
59,61,R. Budi Hartono,$24.2 B,82,Indonesia,"Banking, tobacco",
60,62,Vladimir Potanin,$23.7 B,62,Russia,Metals,
61,63,Jack Ma,$23.5 B,58,China,E-commerce,
62,64,He Xiangjian & family,$23.4 B,80,China,Home appliances,
63,65,Iris Fontbona & family,$23.1 B,80,Chile,Mining,
64,65,Michael Hartono,$23.1 B,83,Indonesia,"Banking, tobacco",
65,67,James Ratcliffe,$22.9 B,70,United Kingdom,Chemicals,
66,68,Cyrus Poonawalla,$22.6 B,81,India,Vaccines,
67,69,Masayoshi Son,$22.4 B,65,Japan,"Internet, telecom",
68,70,Vladimir Lisin,$22.1 B,66,Russia,"Steel, transport",
69,71,Emmanuel Besnier,$22 B,52,France,Cheese,
70,72,Abigail Johnson,$21.6 B,61,United States,Fidelity,
71,72,Leonid Mikhelson & family,$21.6 B,67,Russia,"Gas, chemicals",
72,74,Lukas Walton,$21.2 B,36,United States,Walmart,
73,74,Wang Wei,$21.2 B,52,China,Package delivery,
74,76,Jensen Huang,$21.1 B,60,United States,Semiconductors,
75,77,Leonard Lauder,$21 B,90,United States,Estee Lauder,
76,77,Takemitsu Takizaki,$21 B,77,Japan,Sensors,
77,79,Alexey Mordashov & family,$20.9 B,57,Russia,"Steel, investments",
78,80,Vagit Alekperov,$20.5 B,72,Russia,Oil,
79,81,"Thomas Frist, Jr. & family",$20.2 B,84,United States,Hospitals,
80,82,Andrew Forrest,$19.6 B,61,Australia,Mining,
81,83,Ray Dalio,$19.1 B,73,United States,Hedge funds,
82,84,Li Eric,$19 B,59,China,Automobiles,
83,84,Wang Wenyin,$19 B,55,China,"Mining, copper products",
84,86,Eyal Ofer,$18.9 B,72,Israel,"Real estate, shipping",
85,86,Qin Yinglin,$18.9 B,57,China,Pig breeding,
86,88,Wang Chuanfu,$18.7 B,57,China,"Batteries, automobiles",
87,89,Harold Hamm & family,$18.5 B,77,United States,Oil & gas,
88,89,David Tepper,$18.5 B,65,United States,Hedge funds,
89,89,Gennady Timchenko,$18.5 B,70,Russia,"Oil, gas",
90,92,Daniel Gilbert,$18 B,61,United States,Quicken Loans,
91,93,Lakshmi Mittal,$17.7 B,72,India,Steel,
92,94,Steve Cohen,$17.5 B,66,United States,Hedge funds,
93,94,Carl Icahn,$17.5 B,87,United States,Investments,
94,94,Savitri Jindal & family,$17.5 B,73,India,Steel,
95,97,Donald Bren,$17.4 B,90,United States,Real estate,
96,97,"John Menard, Jr.",$17.4 B,83,United States,Home improvement stores,
97,99,Rupert Murdoch & family,$17.1 B,92,United States,"Newspapers, TV network",
98,100,Vicky Safra & family,$16.7 B,70,Brazil,Banking,
99,101,"Theo Albrecht, Jr. & family",$16.5 B,72,Germany,"Aldi, Trader Joe's",
100,101,Renata Kellnerova & family,$16.5 B,55,Czech Republic,"Finance, telecommunications",
101,103,Li Xiting,$16.3 B,72,Singapore,medical devices,
102,104,Stefan Persson,$16.2 B,75,Sweden,H&M,
103,104,Eric Schmidt,$16.2 B,67,United States,Google,
104,106,Michael Platt,$16 B,55,United Kingdom,Hedge funds,
105,107,Pang Kang,$15.9 B,67,China,Soy sauce,
106,108,Karl Albrecht Jr. & family,$15.8 B,N/A,Germany,Supermarkets,
107,108,Beate Heister,$15.8 B,N/A,Germany,Supermarkets,
108,108,Jorge Paulo Lemann & family,$15.8 B,83,Brazil,Beer,
109,108,Peter Woo,$15.8 B,76,Hong Kong,Real estate,
110,112,Dilip Shanghvi,$15.6 B,67,India,Pharmaceuticals,
111,113,Robert Pera,$15.5 B,45,United States,Wireless networking,
112,114,Radhakishan Damani,$15.3 B,68,India,"Retail, investments",
113,115,Huang Shilin,$15.2 B,56,China,Batteries,
114,116,Dhanin Chearavanont,$14.9 B,83,Thailand,Diversified,
115,116,David Green & family,$14.9 B,81,United States,Retail,
116,118,Charoen Sirivadhanabhakdi,$14.8 B,78,Thailand,"Alcohol, real estate",
117,119,Charlene de Carvalho-Heineken & family,$14.7 B,68,Netherlands,Heineken,
118,120,Xu Hang,$14.6 B,56,Hong Kong,Medical devices,
119,121,Wei Jianjun & family,$14.5 B,59,China,Automobiles,
120,122,Alisher Usmanov,$14.4 B,69,Russia,"Steel, telecom, investments",
121,123,Goh Cheng Liang,$14.3 B,95,Singapore,Paints,
122,124,Kumar Birla,$14.2 B,55,India,Commodities,
123,124,Aliko Dangote,$14.2 B,65,Nigeria,"Cement, sugar",
124,126,Kwong Siu-hing,$14.1 B,93,Hong Kong,Real estate,
125,127,Idan Ofer,$14 B,67,Israel,Shipping,
126,128,Chen Bang,$13.9 B,57,China,Hospitals,
127,128,Lui Che Woo,$13.9 B,94,Hong Kong,Casinos/hotels,
128,130,John Fredriksen,$13.7 B,78,Cyprus,Shipping,
129,130,Diane Hendricks,$13.7 B,76,United States,Building supplies,
130,130,Jan Koum,$13.7 B,47,United States,WhatsApp,
131,133,Jerry Jones,$13.3 B,80,United States,Dallas Cowboys,
132,133,George Kaiser,$13.3 B,80,United States,"Oil & gas, banking",
133,133,Joseph Lau,$13.3 B,71,Hong Kong,Real estate,
134,136,Lu Xiangyang,$13.2 B,60,China,"Automobiles, batteries",
135,137,Harry Triguboff,$13.1 B,90,Australia,Real estate,
136,138,Uday Kotak,$12.9 B,64,India,Banking,
137,138,Stanley Kroenke,$12.9 B,75,United States,"Sports, real estate",
138,140,Mikhail Fridman,$12.6 B,58,Russia,"Oil, banking, telecom",
139,141,Sarath Ratanavadi,$12.3 B,57,Thailand,Energy,
140,142,Dang Yanbao,$12.2 B,50,China,Coal,
141,142,Jiang Rensheng & family,$12.2 B,69,China,Vaccines,
142,144,Shahid Khan,$12.1 B,72,United States,Auto parts,
143,145,Laurene Powell Jobs & family,$12 B,59,United States,"Apple, Disney",
144,146,Robert Kuok,$11.8 B,99,Malaysia,"Palm oil, shipping, property",
145,147,Stephen Ross,$11.6 B,82,United States,Real estate,
146,148,Pavel Durov,$11.5 B,38,United Arab Emirates,Messaging app,
