,Comment,Upvote,Time
0,"2017: People came to listen song. 
2023: People come to check views.",563 k,hace 2 años (editado)
1,Esta canción nunca va a pasar de moda ,114,hace 2 días
2,Gosto muito dessa música ,63,hace 1 día
3,Yo no me aburro de escuchar este tema fue uno de los mejores éxitos de Luis Fonsi,25,hace 1 día
4,"Aunque esta obra maestra tiene 6 años, nunca me cansaré de escucharla... 2023",13,hace 4 horas
5,Esta canción nunca va a pasar de moda ,149,hace 2 días
6,Who’s here before 8.5B views ?,213 k,hace 3 años (editado)
7,A música e boa nunca passa de moda,6,hace 4 horas
8,Temazo..... música para toda la vida saludos desde España ️,21,hace 1 día
9,Esta es la canción más legendaria de YouTube que me hace recordar las delicias de los años pasados y el verano pasado ,7,hace 2 días
10,2023 y aún no deja de sonar este temazo ,5,hace 2 horas
11,The first viewer must feel like the king of the world...,419 k,hace 2 años
12,"6 anos se passaram e a energia que essa música passa só fica mais gostosa, pra mim já virou uma tradição abrir o yt só pra ouvir um pouco, devo ter feito isso umas 15 mil vezes até agora e ainda não foi o suficiente kkkkk",130,hace 4 días
13,"Meu Deus, essa música rodou o planeta inteiro!!!  A música mais ouvida!!!",118,hace 9 días
14,"massa, acho que vai fazer sucesso essa musica!",8,hace 21 horas
15,"wow 6 años pasaron sin darme cuenta, me gusta la canción.",7,hace 1 día
16,Muito bom,12,hace 2 días
17,"2018 : T-series VS pewdiepie
2019 : Avengers VS thanos
2020 : Despacito VS Baby shark
2021 : Despacito VS World population",65 k,hace 2 años (editado)
18,Me asombr ver lo lejos que ha llegado esta canción. Recuerdo cuando no la dejaban descansar y haora prácticamente todo el mundo la conoce,47,hace 2 días
19,Já assisti um milhão de vezes. É ótimo!,61,hace 3 días
20,"No matter how much time passes, this song will still sound just as good as the first time you heard it.    .",208,hace 6 días (editado)
21,Nice song,4,hace 1 día
22,"2017: People Come to hear this song
2019: People Come to see the views",32 k,hace 3 años
23,"Esta canción nunca pasa de moda. No importa cuánto lo escucho, nunca me aburro",120,hace 9 días
24,6 Years and this song never gets old.It's just a wonderful masterpiece..,175,hace 7 días
25,eu amo essa música eu amava e ainda amo essa música é a melhor música já ouvidaaaaaaaaaaa,39,hace 3 días
26,Ya 6 años y sigo escuchando esta música nunca pasa de moda,79,hace 6 días
27,Beautiful song ,2,hace 6 horas
28,Who just came to check the views?,373 k,hace 4 años
29,"Although this masterpiece is 6 years old, I will never tire of listening to it",2,hace 4 horas
30,This song never gets old ,37,hace 4 días
31,está cancion nunca morira,3,hace 1 día
32,"Hinoooo! 8,4 Bilhões de views. Inalcanzable ️ perfecto.",51,hace 6 días
33,"Estoy aqui por nostalgia
Todavia me acuerdo como si hubiese sido ayer y se los juro que daria lo que fuera para revivir estos tiempos",19,hace 3 días
34,"TEACHER: What is the world population 
 
STUDENT: around one despacito",5.7 K,hace 2 años
35,Essa música é muito boa ,35,hace 7 días
36,Ouvindo essa obra de arte em 02/08/2023.... Viva o Brazil 🇧🇷.,93,hace 9 días
37,En que momento han pasado 6 años desde cuando salió esta canción WOW!,1,hace 2 horas
38,This never gets old. 2023 and it's still an absolute banger.,4,hace 4 días
39,Me acuerdo cuando los comentarios eran comentarios y no calendarios.,231,hace 2 años
40,"The memories are flooding back like crazy. I remember when this was all over the radio, it is crazy how time flies. 2017.",1,hace 4 días
41,Muito boa,6,hace 1 día
42,The most beautiful song of all time ,1,hace 1 día
43,Año 2023... Extraño esos años de oro cuando bailaba despacito en just dance,30,hace 4 días
44,6 years later and I am still reminded why this song is such a GREAT hit!It is upsetting knowing that my very own children are growing up in a year where this song is unfamiliar!I will do what it takes to make sure my children are cultured on the old jams of 2017!! ,27,hace 10 días (editado)
45,O Brasil nunca esquece essa música 🇧🇷🇧🇷🇧🇷,77,hace 10 días
46,"Despacito will never stop playing 
Masterpiece 
Always be a part of History ",1,hace 8 horas
47,Cada que la escucho me recuerda a mi adolescencia ,,hace 5 días
48,"This song will never get old, even my mother loves it. So fantastic",19,hace 3 días
49,See you guys when this gets recommended 8 years later,1.6 K,hace 3 años
50,"This is August 2023 and this most watched video song continues its powerful progress in popularity charts. The lyrics are sensual, sensational and spectacular. The singing is soulful, spellbinding, scintillating, simmering, superb and sweet. ",20,hace 10 días
51,2023 y sigue este canción genial y extraordinario ,,hace 5 días
52,A melhor música  S,,hace 1 hora
53,muito bom!,3,hace 3 días
54,This song has good instrumentals and nice rythmm and a nice beat,1,hace 2 días
55,Everybody gangsta' until this has more views than the population of the earth.,1 K,hace 3 años
56,Dejo mi comentario acá para que cuando alguien se le ocurra dejar un me gusta me llegue una notificación y me recuerde que tengo que volver a escuchar esta cancion ,8,hace 4 días
57,Belle chanson. Toujours cool à écouter après 6ans,1,hace 14 horas
58,الناس اللي لسه بتسمع التحفة دي ف 2023 ,5,hace 6 horas (editado)
59,"Hermano, esto es simplemente impresionante.  aunque han pasado 7 años",4,hace 8 horas
60,Nunca va a pasar de moda esta cancion,,hace 22 horas
61,"Internet connected households on earth: 5 Billion
Despacito: 6.9 billion views",860,hace 3 años
62,My favourite song ️,3,hace 2 días
63,And 6 years later I still LOVE hearing this song...makes me feel good.,16,hace 8 días
64,Esta cancion es genial !!!,,hace 1 día
65,7/08/23/ sigo recordando esta canción ,,hace 4 días
66,2023 y aun la escucho ,1,hace 3 días
67,The reason this keeps getting views is just people looking to see how much views this has,117,hace 3 años
68,6 years later  It's still a masterpiece ,11,hace 6 días
