,Match title,Series,Place,Date,Time
0,1st T20I,INDIA TOUR OF IRELAND 2023," The Village, Dublin",18 AUG 2023,9:00 AM HDE
1,2nd T20I,INDIA TOUR OF IRELAND 2023," The Village, Dublin",20 AUG 2023,9:00 AM HDE
2,3rd T20I,INDIA TOUR OF IRELAND 2023," The Village, Dublin",23 AUG 2023,9:00 AM HDE
3,1st ODI,ASIA CUP 2023," Pallekele International Cricket Stadium, Pallekele",1 SEP 2023,11:30 PM HDE
4,2nd ODI,ASIA CUP 2023," Pallekele International Cricket Stadium, Pallekele",3 SEP 2023,11:30 PM HDE
5,1st ODI,AUSTRALIA TOUR OF INDIA 2023-24," Punjab Cricket Association IS Bindra Stadium, Mohali",22 SEP 2023,3:00 AM HDE
6,2nd ODI,AUSTRALIA TOUR OF INDIA 2023-24," Holkar Cricket Stadium, Indore",24 SEP 2023,3:00 AM HDE
7,3rd ODI,AUSTRALIA TOUR OF INDIA 2023-24," Saurashtra Cricket Association Stadium, Rajkot",27 SEP 2023,3:00 AM HDE
8,1st ODI,ICC MENS WORLD CUP 2023," MA Chidambaram Stadium, Chennai",8 OCT 2023,3:30 AM HDE
9,2nd ODI,ICC MENS WORLD CUP 2023," Arun Jaitley Stadium, Delhi",11 OCT 2023,3:30 AM HDE
10,3rd ODI,ICC MENS WORLD CUP 2023," Narendra Modi Stadium, Ahmedabad",14 OCT 2023,3:30 AM HDE
11,4th ODI,ICC MENS WORLD CUP 2023," Maharashtra Cricket Association Stadium, Pune",19 OCT 2023,3:30 AM HDE
12,5th ODI,ICC MENS WORLD CUP 2023," Himachal Pradesh Cricket Association Stadium, Dharamsala",22 OCT 2023,3:30 AM HDE
13,6th ODI,ICC MENS WORLD CUP 2023," Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",29 OCT 2023,3:30 AM HDE
14,7th ODI,ICC MENS WORLD CUP 2023," Wankhede Stadium, Mumbai",2 NOV 2023,3:30 AM HDE
15,8th ODI,ICC MENS WORLD CUP 2023," Eden Gardens, Kolkata",5 NOV 2023,3:30 AM HDE
16,9th ODI,ICC MENS WORLD CUP 2023," M Chinnaswamy Stadium, Bengaluru",12 NOV 2023,3:30 AM HDE
17,1st T20I,AUSTRALIA TOUR OF INDIA 2023-24," Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",23 NOV 2023,8:30 AM HDE
18,2nd T20I,AUSTRALIA TOUR OF INDIA 2023-24," Greenfield International Stadium, Thiruvananthapuram",26 NOV 2023,8:30 AM HDE
19,3rd T20I,AUSTRALIA TOUR OF INDIA 2023-24," Barsapara Cricket Stadium, Guwahati",28 NOV 2023,8:30 AM HDE
20,4th T20I,AUSTRALIA TOUR OF INDIA 2023-24," Vidarbha Cricket Association Stadium, Nagpur",1 DEC 2023,8:30 AM HDE
21,5th T20I,AUSTRALIA TOUR OF INDIA 2023-24," Rajiv Gandhi International Stadium, Hyderabad",3 DEC 2023,8:30 AM HDE
22,1st T20I,INDIA TOUR OF SOUTH AFRICA 2023-24," Kingsmead, Durban",10 DEC 2023,11:00 AM HDE
23,2nd T20I,INDIA TOUR OF SOUTH AFRICA 2023-24," St George's Park, Gqeberha",12 DEC 2023,11:00 AM HDE
24,3rd T20I,INDIA TOUR OF SOUTH AFRICA 2023-24," The Wanderers Stadium, Johannesburg",14 DEC 2023,11:00 AM HDE
25,1st ODI,INDIA TOUR OF SOUTH AFRICA 2023-24, Johannesburg,17 DEC 2023,3:30 AM HDE
26,2nd ODI,INDIA TOUR OF SOUTH AFRICA 2023-24," St George's Park, Gqeberha",19 DEC 2023,3:30 AM HDE
27,3rd ODI,INDIA TOUR OF SOUTH AFRICA 2023-24," Boland Park, Paarl",21 DEC 2023,3:30 AM HDE
28,1st Test,INDIA TOUR OF SOUTH AFRICA 2023-24," SuperSport Park, Centurion",26 DEC 2023,3:00 AM HDE
29,2nd Test,INDIA TOUR OF SOUTH AFRICA 2023-24," Newlands, Cape Town",3 JAN 2024,3:00 AM HDE
30,1st T20I,AFGHANISTAN TOUR OF INDIA 2023-24," Punjab Cricket Association IS Bindra Stadium, Mohali",11 JAN 2024,8:30 AM HDE
31,2nd T20I,AFGHANISTAN TOUR OF INDIA 2023-24," Holkar Cricket Stadium, Indore",14 JAN 2024,8:30 AM HDE
32,3rd T20I,AFGHANISTAN TOUR OF INDIA 2023-24," M Chinnaswamy Stadium, Bengaluru",17 JAN 2024,8:30 AM HDE
33,1st Test,ENGLAND TOUR OF INDIA 2023-24," Rajiv Gandhi International Stadium, Hyderabad",24 JAN 2024,11:00 PM HDE
34,2nd Test,ENGLAND TOUR OF INDIA 2023-24," Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1 FEB 2024,11:00 PM HDE
35,3rd Test,ENGLAND TOUR OF INDIA 2023-24," Saurashtra Cricket Association Stadium, Rajkot",14 FEB 2024,11:00 PM HDE
36,4th Test,ENGLAND TOUR OF INDIA 2023-24," JSCA International Stadium Complex, Ranchi",22 FEB 2024,11:00 PM HDE
37,5th Test,ENGLAND TOUR OF INDIA 2023-24," Himachal Pradesh Cricket Association Stadium, Dharamsala",6 MAR 2024,11:00 PM HDE
