,Repository Title,URL,Repository description,Contributors count,Language used
0,a16z-infra / ai-town,https://github.com/a16z-infra/ai-town,"A MIT-licensed, deployable starter kit for building and customizing your own version of AI town - a virtual town where AI characters live, chat and socialize.",11,"['TypeScript', 'JavaScript', 'CSS', 'Dockerfile']"
1,opentffoundation / manifesto,https://github.com/opentffoundation/manifesto,The OpenTF Manifesto expresses concern over HashiCorp's switch of the Terraform license from open-source to the Business Source License (BSL) and calls for the tool's return to a truly open-source license.,234,"['HTML', 'CSS']"
2,lllyasviel / Fooocus,https://github.com/lllyasviel/Fooocus,Focus on prompting and generating,3,"['Python', 'Jupyter Notebook']"
3,varunshenoy / opendream,https://github.com/varunshenoy/opendream,"An extensible, easy-to-use, and portable diffusion web UI 👨‍🎨",6,"['JavaScript', 'Python', 'HTML', 'CSS', 'Shell']"
4,modelscope / facechain,https://github.com/modelscope/facechain,FaceChain is a deep-learning toolchain for generating your Digital-Twin.,7,"['Python', 'Jupyter Notebook', 'Shell']"
5,Azure-Samples / azure-search-openai-demo,https://github.com/Azure-Samples/azure-search-openai-demo,"A sample app for the Retrieval-Augmented Generation pattern running in Azure, using Azure Cognitive Search for retrieval and Azure OpenAI large language models to power ChatGPT-style and Q&A experiences.",35,"['Python', 'TypeScript', 'Jupyter Notebook', 'Bicep', 'CSS', 'PowerShell', 'Other']"
6,chatchat-space / Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,"Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain ｜ 基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答",74,"['Python', 'Shell']"
7,morph-labs / rift,https://github.com/morph-labs/rift,Rift: an AI-native language server for your personal AI software engineer,13,"['Python', 'TypeScript', 'Svelte', 'JavaScript', 'Other']"
8,NVlabs / neuralangelo,https://github.com/NVlabs/neuralangelo,"Official implementation of ""Neuralangelo: High-Fidelity Neural Surface Reconstruction"" (CVPR 2023)",2,"['Python', 'Shell', 'Jupyter Notebook']"
9,ProfSynapse / Synapse_CoR,https://github.com/ProfSynapse/Synapse_CoR,-,-,-
10,steven2358 / awesome-generative-ai,https://github.com/steven2358/awesome-generative-ai,A curated list of modern Generative Artificial Intelligence projects and services,27,-
11,ibaiw / 2023Hvv,https://github.com/ibaiw/2023Hvv,2023 HVV情报速递~,-,-
12,iam-veeramalla / aws-devops-zero-to-hero,https://github.com/iam-veeramalla/aws-devops-zero-to-hero,"AWS zero to hero repo for devops engineers to learn AWS in 30 Days. This repo includes projects, presentations, interview questions and real time examples.",2,"['Python', 'HCL', 'Shell', 'Dockerfile']"
13,AntonOsika / gpt-engineer,https://github.com/AntonOsika/gpt-engineer,"Specify what you want it to build, the AI asks for clarification, and then builds it.",57,"['Python', 'Makefile', 'Other']"
14,bigskysoftware / htmx,https://github.com/bigskysoftware/htmx,</> htmx - high power tools for HTML,215,"['JavaScript', 'HTML', 'Go', 'CSS', 'Ruby', 'TypeScript']"
15,angular / angular,https://github.com/angular/angular,The modern web developer’s platform,"1,767","['TypeScript', 'JavaScript', 'Starlark', 'HTML', 'CSS', 'SCSS', 'Other']"
16,XingangPan / DragGAN,https://github.com/XingangPan/DragGAN,Official Code for DragGAN (SIGGRAPH 2023),16,"['Python', 'Cuda', 'C++']"
17,google / googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,406,"['C++', 'Python', 'CMake', 'C', 'Starlark', 'Shell']"
18,Yidadaa / ChatGPT-Next-Web,https://github.com/Yidadaa/ChatGPT-Next-Web,A well-designed cross-platform ChatGPT UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT 应用。,118,"['TypeScript', 'SCSS', 'JavaScript', 'Other']"
19,awesome-selfhosted / awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,"1,254",['Makefile']
20,vercel / next.js,https://github.com/vercel/next.js,The React Framework,"2,824","['JavaScript', 'TypeScript', 'Rust', 'MDX', 'CSS', 'SCSS']"
21,1Panel-dev / 1Panel,https://github.com/1Panel-dev/1Panel,🔥 🔥 🔥 现代化、开源的 Linux 服务器运维管理面板。,28,"['Go', 'Vue', 'SCSS', 'JavaScript', 'HTML', 'CSS']"
22,assafelovic / gpt-researcher,https://github.com/assafelovic/gpt-researcher,GPT based autonomous agent that does online comprehensive research on any given topic,12,"['Python', 'HTML', 'JavaScript', 'CSS', 'Dockerfile']"
23,dotnet / maui,https://github.com/dotnet/maui,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",509,"['C#', 'PowerShell', 'Java', 'Shell', 'HTML', 'CSS']"
24,plbrault / youre-the-os,https://github.com/plbrault/youre-the-os,"A game where you are a computer's OS and you have to manage processes, memory and I/O events.",2,['Python']
