,Dataset name,Data type,Task,Attribute type,No of instances,No of attribute,Date Donated,Year
0,Iris,Multivariate,Classification,Real,150,4,6/30/1988,1988
1,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,13,6/30/1988,1988
2,Adult,Multivariate,Classification,"Categorical, Integer",84K,14,4/30/1996,1996
3,Dry Bean Dataset,Multivariate,Classification,"Integer, Real",61K,16,9/13/2020,2020
4,Diabetes,,,"Categorical, Integer",-,20,N/A,-
5,Wine,Multivariate,Classification,"Integer, Real",178,13,6/30/1991,1991
6,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,30,10/31/1995,1995
7,Car Evaluation,Multivariate,Classification,Categorical,73K,6,5/31/1997,1997
8,Rice (Cammeo and Osmancik),Multivariate,Classification,Real,81K,8,10/5/2019,2019
9,Mushroom,Multivariate,Classification,Categorical,12K,22,4/26/1987,1987
10,Abalone,Multivariate,Classification,"Categorical, Integer, Real",18K,8,11/30/1995,1995
11,Breast Cancer,Multivariate,Classification,Categorical,286,9,7/10/1988,1988
12,Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1K,20,11/16/1994,1994
13,Wine Quality,Multivariate,"Classification, Regression",Real,9K,12,10/6/2009,2009
14,Glass Identification,Multivariate,Classification,Real,214,9,8/31/1987,1987
15,Census Income,Multivariate,Classification,"Categorical, Integer",84K,14,4/30/1996,1996
16,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,9,7/14/1992,1992
17,Auto MPG,Multivariate,Regression,"Real, Categorical, Integer",398,7,7/6/1993,1993
18,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,25,5/18/1987,1987
19,Bank Marketing,Multivariate,Classification,"Categorical, Integer",21K,17,2/13/2012,2012
20,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",2K,5,12/31/1986,1986
21,Spambase,Multivariate,Classification,"Integer, Real",6K,57,6/30/1999,1999
22,Predict students' dropout and academic success,Tabular,Classification,N/A,42K,36,12/12/2021,2021
23,Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,62K,64,6/30/1998,1998
24,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,N/A,-
0,Zoo,Multivariate,Classification,"Categorical, Integer",101,16,5/14/1990,1990
1,Liver Disorders,,,"Categorical, Integer, Real",345,5,5/14/1990,1990
2,Student Performance,Multivariate,"Classification, Regression",Integer,649,33,11/26/2014,2014
3,Lung Cancer,Multivariate,Classification,Integer,32,56,4/30/1992,1992
4,Ionosphere,Multivariate,Classification,"Integer, Real",351,34,12/31/1988,1988
5,Letter Recognition,Multivariate,Classification,Integer,20K,16,12/31/1990,1990
6,Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",28K,-,6/30/1998,1998
7,Online Retail II,"Multivariate, Sequential, Time-Series, Text","Classification, Regression, Clustering","Integer, Real",07M,8,9/20/2019,2019
8,Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,99K,16,6/30/1998,1998
9,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,4/26/1987,1987
10,Covertype,Multivariate,Classification,"Categorical, Integer",01K,54,7/31/1998,1998
11,Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",91K,8,11/5/2015,2015
12,Image Segmentation,Multivariate,Classification,Real,31K,19,10/31/1990,1990
13,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,10/31/1988,1988
14,Yeast,Multivariate,Classification,Real,48K,8,8/31/1996,1996
15,Computer Hardware,Multivariate,Regression,Integer,209,9,9/30/1987,1987
16,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,8/18/1991,1991
17,default of credit card clients,Multivariate,Classification,"Integer, Real",30K,24,1/25/2016,2016
18,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,N/A,-
19,Nursery,Multivariate,Classification,Categorical,96K,8,5/31/1997,1997
20,Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,N/A,-
21,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,58K,5,9/25/1997,1997
