,Brand,Product description,Price,% off
0,VINCENT CHASE,"Polarized, UV Protection Round Sunglasses (51)",₹949,52%
1,hayden haiza,"Polarized, UV Protection Aviator Sunglasses (55)",₹391,84%
2,SDEEP,"UV Protection, Others Spectacle Sunglasses (Free Size)",₹185,80%
3,SRPM,UV Protection Wayfarer Sunglasses (50),₹194,85%
4,Elligator,"UV Protection Cat-eye, Retro Square, Oval, Round Sungla...",₹168,71%
5,iCopertina,UV Protection Retro Square Sunglasses (Free Size),₹199,80%
6,MEHJ,UV Protection Rectangular Sunglasses (Free Size),₹599,40%
7,Velocity Eyewear,Polarized Round Sunglasses (53),₹678,67%
8,Elligator,"UV Protection Aviator, Wayfarer Sunglasses (54)",₹152,88%
9,Fastrack,UV Protection Wayfarer Sunglasses (58),₹826,24%
10,john jacobs,"Polarized, UV Protection Round Sunglasses (48)","₹6,000",
11,VOLRIX,UV Protection Rectangular Sunglasses (Free Size),₹263,82%
12,Elligator,UV Protection Round Sunglasses (53),₹199,80%
13,Shiv,"UV Protection, Polarized, Gradient, Mirrored Round Sung...",₹275,72%
14,Cool enter,UV Protection Spectacle Sunglasses (15),₹183,48%
15,SRPM,UV Protection Wayfarer Sunglasses (50),₹194,85%
16,Silver Kartz,UV Protection Aviator Sunglasses (50),₹263,82%
17,hayden haiza,UV Protection Cat-eye Sunglasses (45),₹206,79%
18,US Product,UV Protection Wayfarer Sunglasses (54),₹199,50%
19,ROADWAY,UV Protection Retro Square Sunglasses (Free Size),₹256,80%
20,ROYAL SON,"UV Protection Rectangular, Retro Square Sunglasses (58)",₹497,66%
21,ROYAL SON,Mirrored Aviator Sunglasses (58),₹379,74%
22,VINCENT CHASE,"UV Protection, Polarized Round Sunglasses (47)",₹499,75%
23,Rich Club,UV Protection Round Sunglasses (50),₹335,66%
24,Fastrack,"Gradient, UV Protection Wayfarer Sunglasses (Free Size)",₹748,25%
25,Fastrack,UV Protection Wayfarer Sunglasses (56),₹882,11%
26,hayden haiza,UV Protection Cat-eye Sunglasses (48),₹239,76%
27,ROZZETTA CRAFT,UV Protection Retro Square Sunglasses (54),₹490,75%
28,Shiv,"UV Protection, Gradient, Polarized Round Sunglasses (50...",₹249,75%
29,ROADWAY,UV Protection Retro Square Sunglasses (Free Size),₹372,81%
30,OCHILA,UV Protection Aviator Sunglasses (58),₹196,83%
31,VINCENT CHASE,"by Lenskart Polarized, UV Protection Wayfarer Sunglasse...",₹678,72%
32,Fastrack,UV Protection Aviator Sunglasses (Free Size),₹612,31%
33,VINCENT CHASE,UV Protection Wayfarer Sunglasses (59),₹649,67%
34,Shiv,"UV Protection, Gradient Oval Sunglasses (55)",₹249,75%
35,New Specs,UV Protection Rectangular Sunglasses (Free Size),₹269,89%
36,hayden haiza,"Polarized, UV Protection Aviator Sunglasses (59)",₹393,78%
37,john jacobs,UV Protection Retro Square Sunglasses (51),"₹3,134",47%
38,Fastrack,UV Protection Wayfarer Sunglasses (53),₹749,25%
39,Rich Club,UV Protection Rectangular Sunglasses (52),₹395,80%
40,john jacobs,UV Protection Round Sunglasses (51),"₹2,399",52%
41,john jacobs,UV Protection Retro Square Sunglasses (57),"₹2,899",35%
42,VINCENT CHASE,"by Lenskart Polarized, UV Protection Retro Square Sungl...",₹648,74%
43,LIZA ANGEL,"UV Protection, Night Vision, Riding Glasses Wayfarer Su...",₹249,80%
44,GANSTA,"Riding Glasses, UV Protection Retro Square Sunglasses (...",₹245,81%
45,METRONAUT,UV Protection Sunglass,₹249,80%
46,HAYDEN hazia,Polarized Aviator Sunglasses (54),₹404,76%
47,VINCENT CHASE,UV Protection Clubmaster Sunglasses (55),₹850,57%
48,kingsunglasses,"Mirrored, UV Protection Wayfarer Sunglasses (Free Size)",₹274,86%
49,Elligator,UV Protection Wayfarer Sunglasses (53),₹194,85%
50,VINCENT CHASE,"by Lenskart Polarized, UV Protection Wayfarer Sunglasse...",₹771,69%
51,ROYAL SON,"UV Protection, Gradient Butterfly Sunglasses (62)",₹664,66%
52,Elligator,UV Protection Round Sunglasses (54),₹299,88%
53,Sukart,"UV Protection, Riding Glasses, Polarized, Gradient Wayf...",₹292,70%
54,PROVOGUE,UV Protection Round Sunglasses (Free Size),₹699,72%
55,Fastrack,UV Protection Wayfarer Sunglasses (Free Size),₹825,24%
56,ROZZETTA CRAFT,UV Protection Aviator Sunglasses (62),₹649,74%
57,GLAMORSTYL,"Polarized Aviator, Sports Sunglasses (55)",₹284,85%
58,DEIXELS,"Polarized, UV Protection, Riding Glasses Wayfarer Sungl...",₹211,64%
59,Ray-Ban,UV Protection Aviator Sunglasses (52),"₹2,723",30%
60,john jacobs,UV Protection Round Sunglasses (53),"₹3,599",20%
61,AISLIN,"Toughened Glass Lens, UV Protection Wayfarer, Rectangul...",₹898,75%
62,PIRASO,UV Protection Clubmaster Sunglasses (54),₹245,84%
63,AISLIN,"UV Protection, Gradient Round, Cat-eye Sunglasses (60)",₹498,70%
64,Fastrack,UV Protection Shield Sunglasses (Free Size),₹689,31%
65,Sukart,"UV Protection, Riding Glasses, Polarized, Gradient Wayf...",₹292,70%
66,Eyewearlabs,"Polarized, UV Protection Retro Square Sunglasses (54)","₹1,799",50%
67,john jacobs,UV Protection Wayfarer Sunglasses (46),"₹1,979",50%
68,ROZZETTA CRAFT,"UV Protection, Gradient Butterfly, Shield Sunglasses (6...",₹399,85%
69,Fastrack,UV Protection Aviator Sunglasses (Free Size),₹612,31%
70,john jacobs,"Polarized, UV Protection Aviator Sunglasses (59)","₹2,374",47%
71,john jacobs,UV Protection Aviator Sunglasses (59),"₹2,499",50%
72,OAKLEY,Rectangular Sunglass,"₹7,968",33%
73,PIRASO,UV Protection Aviator Sunglasses (Free Size),₹309,80%
